time,thumb,index,middle,ring,pinky
1683072604.7732036,0.0647,0.03,0.02,0.01,0.02
1683072605.8045657,0.058,0.03,0.01,0.01,0.02
1683072606.8814142,0.0573,0.03,0.02,0.01,0.02
1683072607.885168,0.0624,0.04,0.04,0.02,0.03
1683072608.9140499,0.0642,0.04,0.04,0.01,0.02
1683072609.9830713,0.0616,0.03,0.02,0.01,0.02
1683072610.9958262,0.0669,0.03,0.01,0.01,0.02
1683072612.0401485,0.0677,0.03,0.01,0.0,0.02
1683072613.06195,0.0654,0.03,0.02,0.0,0.02
1683072614.1374545,0.0645,0.03,0.01,0.0,0.02
1683072615.16697,0.055,0.03,0.02,0.01,0.02
1683072616.2143507,0.0771,0.05,0.04,0.03,0.03
1683072617.2773347,0.0808,0.05,0.04,0.03,0.04
1683072618.3100846,0.063,0.04,0.04,0.02,0.02
1683072619.336731,0.0495,0.03,0.03,0.02,0.03
1683072620.3818533,0.0597,0.04,0.04,0.02,0.03
1683072621.460195,0.0689,0.03,0.01,0.01,0.02
1683072622.4784806,0.0589,0.03,0.01,0.01,0.02
1683072623.4800968,0.0723,0.03,0.02,0.0,0.02
1683072624.483172,0.0659,0.03,0.01,0.0,0.02
1683072625.5398848,0.0564,0.03,0.01,0.01,0.03
1683072626.5505424,0.067,0.04,0.03,0.02,0.02
1683072627.5971076,0.067,0.04,0.03,0.02,0.03
1683072628.6736803,0.0705,0.04,0.03,0.02,0.03
1683072629.718029,0.0573,0.03,0.03,0.01,0.02
1683072630.7482817,0.0591,0.03,0.04,0.02,0.03
1683072631.8049245,0.0618,0.03,0.01,0.0,0.02
1683072632.8882773,0.068,0.03,0.02,0.0,0.02
1683072633.9278097,0.06,0.02,0.01,0.01,0.02
1683072634.9467354,0.0703,0.03,0.02,0.01,0.02
1683072635.987909,0.0639,0.03,0.01,0.01,0.02
1683072637.0238545,0.0658,0.03,0.02,0.01,0.03
1683072638.0681307,0.0647,0.04,0.03,0.02,0.02
1683072639.1014264,0.0611,0.03,0.02,0.01,0.02
1683072640.1129649,0.0712,0.04,0.05,0.02,0.02
1683072641.1762393,0.0595,0.03,0.04,0.02,0.03
1683072642.255214,0.0565,0.04,0.04,0.03,0.03
1683072643.298578,0.0628,0.02,0.01,0.01,0.03
1683072644.3904967,0.0628,0.03,0.01,0.0,0.02
1683072645.448594,0.0623,0.03,0.01,0.01,0.02
1683072646.5172427,0.0668,0.03,0.02,0.01,0.02
1683072647.5450873,0.0678,0.03,0.02,0.01,0.02
1683072648.5462651,0.0468,0.03,0.01,0.01,0.03
1683072649.5768685,0.0586,0.03,0.02,0.01,0.02
1683072650.6423209,0.0571,0.03,0.02,0.02,0.02
1683072651.730961,0.0685,0.05,0.04,0.02,0.03
